Port Name;Direction;Pin Number;I/O Standard;Function;;;
i_clk;Input;PIN_R20;3.3-V LVTTL;Main System Clock;;;
i_reset;Input;PIN_AE10;1.2 V;Resets the game to the default state;;;
i_start;Input;PIN_AC9;1.2 V;Starts the game;;;
i_switch[3];Input;PIN_Y16;1.2 V;Paddle controls for Player 2 - Move Down;;;
i_switch[2];Input;PIN_Y15;1.2 V;Paddle controls for Player 2 - Move Up;;;
i_switch[1];Input;PIN_P12;1.2 V;Paddle controls for Player 1 - Move Down;;;
i_switch[0];Input;PIN_P11;1.2 V;Paddle controls for Player 1 - Move Up;;;
;;;;;;;
o_7seg_G;Output;PIN_AF24;1.2 V;"shows a ""-"" sign between the Player 1 and 2 scores";;;
o_7seg_P1[6];Output;PIN_AD7;3.3-V LVTTL;Shows Player 1 scores on Hex Displays;;;
o_7seg_P1[5];Output;PIN_AD6;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P1[4];Output;PIN_U20;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P1[3];Output;PIN_V22;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P1[2];Output;PIN_V20;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P1[1];Output;PIN_W21;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P1[0];Output;PIN_W20;3.3-V LVTTL;Shows Player 1  scores on Hex Displays;;;
o_7seg_P2[6];Output;PIN_V19;1.2 V;Shows Player 2 scores on Hex Displays;;;
o_7seg_P2[5];Output;PIN_V18;1.2 V;Shows Player 2  scores on Hex Displays;;;
o_7seg_P2[4];Output;PIN_V17;1.2 V;Shows Player 2  scores on Hex Displays;;;
o_7seg_P2[3];Output;PIN_W18;1.2 V;Shows Player 2  scores on Hex Displays;;;
o_7seg_P2[2];Output;PIN_Y20;1.2 V;Shows Player 2  scores on Hex Displays;;;
o_7seg_P2[1];Output;PIN_Y19;1.2 V;Shows Player 2  scores on Hex Displays;;;
o_7seg_P2[0];Output;PIN_Y18;1.2 V;Shows Player  2 scores on Hex Displays;;;
;;;;;;;
o_hdmi_clk;Output;PIN_Y25;3.3-V LVTTL;25MHz Clock to run the HDMI interface;;;
o_hdmi_DE;Output;PIN_Y26;3.3-V LVTTL;Data Enable required for HDMI display transmission;;;
o_hdmi_HS;Output;PIN_U26;3.3-V LVTTL;Horizontal Sync for VGA timing;;;
o_hdmi_VS;Output;PIN_U25;3.3-V LVTTL;Vertical Sync for VGA timing;;;
o_hdmi_DATA_BUS[23];Output;PIN_AD25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[22];Output;PIN_AC25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[21];Output;PIN_AB25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[20];Output;PIN_AA24;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[19];Output;PIN_AB26;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[18];Output;PIN_R26;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[17];Output;PIN_R24;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[16];Output;PIN_P21;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[15];Output;PIN_P26;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[14];Output;PIN_N25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[13];Output;PIN_P23;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[12];Output;PIN_P22;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[11];Output;PIN_R25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[10];Output;PIN_R23;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[9];Output;PIN_T26;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[8];Output;PIN_T24;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[7];Output;PIN_T23;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[6];Output;PIN_U24;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[5];Output;PIN_V25;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[4];Output;PIN_V24;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
o_hdmi_DATA_BUS[3];Output;PIN_W26;3.3-V LVTTL;24-bit RGB pixel data for HDMI;;;
